Borough,Block,Lot,Address,ZIP Code,Final 18/19 Actual AV,Tax Class,Bldg. Class,RPIE Year,Status,X Coordinate,Y Coordinate,Latitude,Longitude,Community District,City Council District,Census Tract,BIN,BBL,NTA
Manhattan,177,2,59 LEONARD STREET,10013,16362450,4,O3,2017,Nonfiler,982562,200802,40.717832,-74.006089,101,1,33,1001971,1001770002,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,178,11,116 FRANKLIN STREET,10013,1322550,4,L9,2017,Nonfiler,982547,201105,40.718664,-74.006144,101,1,33,1001985,1001780011,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,178,19,225 WEST BROADWAY,10013,908550,4,K4,2017,Nonfiler,982520,201338,40.719303,-74.006241,101,1,33,1001986,1001780019,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,178,22,3 WHITE STREET,10013,2746350,4,L9,2017,Nonfiler,982603,201354,40.719347,-74.005942,101,1,33,1001988,1001780022,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,178,24,9 WHITE STREET,10013,701118,2C,C6,2017,Nonfiler,982650,201326,40.71927,-74.005772,101,1,33,1001989,1001780024,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,179,42,33 LEONARD STREET,10013,133200,4,K1,2017,Nonfiler,982213,201014,40.718414,-74.007348,101,1,33,1079304,1001790042,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,179,43,31 LEONARD STREET,10013,938250,4,L9,2017,Nonfiler,982193,201025,40.718444,-74.007421,101,1,33,1002003,1001790043,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,179,44,29 LEONARD STREET,10013,1063350,4,L9,2017,Nonfiler,982173,201037,40.718477,-74.007493,101,1,33,1002004,1001790044,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,179,73,198 WEST BROADWAY,10013,139050,4,O1,2017,Nonfiler,982300,201118,40.718699,-74.007035,101,1,33,1002019,1001790073,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,180,1051,77 HUDSON STREET  #1-COM,10013,90841,2C,R8,2017,Nonfiler,981791,201005,40.718389,-74.008871,101,1,39,1002022,1001807509,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,180,1101,69 HUDSON STREET  #COMM,10013,126546,4,RB,2017,Nonfiler,981777,200899,40.718098,-74.008921,101,1,39,1002045,1001807502,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,180,1201,11 HARRISON STREET  #Com2,10013,94321,2C,R8,2017,Nonfiler,981567,201125,40.718718,-74.009679,101,1,39,1066435,1001807504,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,180,1351,13 HARRISON STREET  #1,10013,76618,2C,R8,2017,Nonfiler,981541,201129,40.718729,-74.009773,101,1,39,1002035,1001807506,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,180,1501,5 HARRISON STREET  #A,10013,71904,2C,R8,2017,Nonfiler,981684,201109,40.718674,-74.009257,101,1,39,1085818,1001807510,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,180,1502,5 HARRISON STREET  #1,10013,132730,2C,R8,2017,Nonfiler,981684,201109,40.718674,-74.009257,101,1,39,1085818,1001807510,SoHo-TriBeCa-Civic Center-Little Italy
